ID,Label,Latitude,Longitude
Afghanistan,Afghanistan,33,65
Algeria,Algeria,28,3
Angola,Angola,-12.5,18.5
Argentina,Argentina,-34,-64
Australia,Australia,-27,133
Austria,Austria,47.3333,13.3333
Bangladesh,Bangladesh,24,90
Belarus,Belarus,53,28
Belgium,Belgium,50.8333,4
Belize,Belize,17.25,-88.75
Bhutan,Bhutan,27.5,90.5
Bolivia,Bolivia,-17,-65
Bosnia-Herzegovina,Bosnia-Herzegovina,44,18
Brazil,Brazil,-10,-55
Brunei,Brunei,4.5,114.667
Bulgaria,Bulgaria,43,25
Cambodia,Cambodia,13,105
Cameroon,Cameroon,6,12
Canada,Canada,60,-95
Chile,Chile,-30,-71
China,China,35,105
Colombia,Colombia,4,-72
Congo,Congo,-1,15
Cote d'Ivoire,Cote d'Ivoire,8,-5
Croatia,Croatia,45.1667,15.5
Cyprus,Cyprus,35,33
Czech Republic,Czech Republic,49.75,15.5
Democratic Republic of the Congo,Democratic Republic of the Congo,0,25
Denmark,Denmark,56,10
Dominican Republic,Dominican Republic,19,-70.6667
East Timor,East Timor,-8.73308,126.321
Ecuador,Ecuador,-2,-77.5
Egypt,Egypt,27,30
Estonia,Estonia,59,26
Ethiopia,Ethiopia,8,38
Finland,Finland,64,26
France,France,46,2
Gambia,Gambia,13.4667,-16.5667
Germany,Germany,51,9
Ghana,Ghana,8,-2
Greece,Greece,39,22
Guam,Guam,13.2613,145.096
Guinea,Guinea,11,-10
Haiti,Haiti,19,-72.4167
Hong Kong,Hong Kong,22.25,114.167
India,India,20,77
Indonesia,Indonesia,-5,120
Iran,Iran,32,53
Iraq,Iraq,33,44
Ireland,Ireland,53,-8
Israel,Israel,31.5,34.75
Italy,Italy,42.8333,12.8333
Jamaica,Jamaica,18.25,-77.5
Japan,Japan,36,138
Jersey,Jersey,49.1961,-2.12585
Kazakhstan,Kazakhstan,48,68
Kenya,Kenya,1,38
Laos,Laos,18,105
Latvia,Latvia,57,25
Liberia,Liberia,6.5,-9.5
Libya,Libya,25,17
Luxembourg,Luxembourg,49.75,6.1667
Macau,Macau,22.1667,113.55
Madagascar,Madagascar,-20,47
Malaysia,Malaysia,2.5,112.5
Mauritius,Mauritius,-20.2833,57.55
Mexico,Mexico,23,-102
Moldova,Moldova,47,29
Mongolia,Mongolia,46,105
Myanmar,Myanmar,22,98
Nauru,Nauru,-0.5333,166.917
Nepal,Nepal,28,84
Netherlands,Netherlands,52.5,5.75
New Zealand,New Zealand,-41,174
Nigeria,Nigeria,10,8
North Korea,North Korea,40,127
Norway,Norway,62,10
Oman,Oman,21,57
Pakistan,Pakistan,30,70
Papua New Guinea,Papua New Guinea,-6,147
Peru,Peru,-10,-76
Philippines,Philippines,13,122
Poland,Poland,52,20
Portugal,Portugal,39.5,-8
Puerto Rico,Puerto Rico,18.2359,-66.4838
Qatar,Qatar,25.5,51.25
Reunion,Reunion,-21.1,55.6
Romania,Romania,46,25
Russia,Russia,60,100
Saudi Arabia,Saudi Arabia,25,45
Senegal,Senegal,14,-14
Serbia,Serbia,43.75,20.75
Sierra Leone,Sierra Leone,8.5,-11.5
Singapore,Singapore,1.3667,103.8
Somalia,Somalia,10,49
Somaliland,Somaliland,10,49
South Africa,South Africa,-29,24
South Korea,South Korea,37,127.5
Spain,Spain,40,-4
Sri Lanka,Sri Lanka,7,81
Sudan,Sudan,15,30
Sweden,Sweden,62,15
Switzerland,Switzerland,47,8
Syria,Syria,35,38
Taiwan,Taiwan,23.5,121
Tanzania,Tanzania,-6,35
Thailand,Thailand,15,100
Turkey,Turkey,39,35
Uganda,Uganda,1,32
Ukraine,Ukraine,49,32
United Arab Emirates,United Arab Emirates,24,54
United Kingdom,United Kingdom,54,-2
United States,United States,38,-97
Uzbekistan,Uzbekistan,41,64
Vatican City,Vatican City,41.9,12.45
Venezuela,Venezuela,8,-66
Vietnam,Vietnam,16,106
Yemen,Yemen,15,48
Zambia,Zambia,-15,30
Zimbabwe,Zimbabwe,-20,30
